language,number_occurrences,translations_freq
alp,18,"{'manuaru': 8, 'manua': 4, 'manure': 3, 'teture': 1, 'ihidupe': 1, 'kenae': 1}"
alq,18,"{'pinecijag': 13, 'pinecijan': 3, 'odjindjin': 1}"
alt,18,"{'куштары': 5, 'учуп': 3, 'уйалу': 2, 'куштарына': 1, 'кире': 1, 'куштарын': 1, 'санду': 1, 'аҥыланат': 1, 'аҥ-куштарды': 1, 'тойгон': 1}"
aly,38,"{'thip': 8, 'thip-rnemel': 3, 'thip-rnem': 3, 'atnwenth': 2, 'thip-rnem-then': 2, 'pwelker-then': 1, 'tyelk': 1, 'ipma': 1, 'inngarl': 1, 'atnwenth-apeny': 1, 'ilek-ilekew': 1}"
alz,18,"{'winyo': 17, 'kor': 1}"
ame,18,"{""huac̈ha'tyesa"": 3, ""huac̈ha'toña"": 3, 'ot̃neshac̈hno': 2, 'neyc̈henañ': 2, 'shechpec̈hno': 2, ""tse'mac̈hno"": 2, ""ot̃ma't̃"": 1, ""cacac̈hnopa'c̈ho'ña"": 1, 'ot̃ec̈hno': 1, ""yetsena'tyen"": 1}"
amf,18,"{'aptinaar': 4, 'gaamirenasa': 2, 'aptina': 2, 'aptinaam': 1, 'wavaysaka': 1, 'bhocchee': 1, 'pillayna': 1, 'aptinabeam': 1, 'pijadhaanabeam': 1, 'aptin': 1, 'dabinbee': 1, 'beeronasaar': 1}"
amh,18,"{'ወፎችም': 6, 'ወፎች': 5, 'የላችሁም': 1, 'መኖራቸውን': 1, 'አራት': 1, 'የዓሣ': 1, 'ሆነች': 1, 'ሥጋቸውን': 1}"
amk,18,"{'romufosa': 7, 'romu': 6, 'romunei': 2, 'esifo': 2, 'yuainsowang': 1}"
amm,18,"{'uoyo': 3, 'tumo': 2, 'tofufoimuwano': 1, 'tosi': 1, 'totoloso': 1, 'poiso': 1, 'uo': 1, 'tosinono': 1, 'noka': 1, 'koloni': 1}"
amn,18,"{'twafig': 10, 'twafigni': 3, 'twafigim': 2, 'ambugogim': 2, 'sahfefaf': 1}"
amp,18,"{'nungam': 9, 'buganimomm': 2, 'tkit': 2, 'dukakahr': 1, 'tkiroht': 1, 'hegb': 1, 'hasiwum': 1}"
amr,18,"{'bakoy': 9, 'bakoya': 1, ""on'pakka'ika'"": 1, ""o'kidye̱'kuyate"": 1, 'huapak': 1, ""o'pakka'"": 1}"
amu,18,"{'cantsaa': 14, ""ma'ntyja"": 2, 'candyaa': 1, ""ts'iaaⁿndye"": 1}"
amx,3,"{'thep': 2, 'iterrang': 1}"
ann,18,"{'òwulu': 9, 'unọn': 4, 'ofut': 3, 'enenitọk': 1}"
anv,18,"{'denywɔné': 9, 'denwyɔné': 3, 'dénywɔne': 2, 'déko': 2, 'ábélege': 1, 'débigé': 1}"
aoi,29,"{'wurrajija': 7, 'wurrajija-murriya': 6, 'wurrajija-murriya-manja': 2, 'yinungungwangba-murriya': 2, 'yada': 1, 'nawurrak-ambilya-murrilangwa': 1, 'keni-ngkarrngarna': 1, 'wurradidirrungwarna': 1, 'warnik-alyadiji-yade-ka': 1, 'ka-lungkuwarrini-yada': 1, 'damba-langwa': 1, 'yingarna-murriya': 1}"
aoj,18,"{'amiguf': 12, 'mala': 2, 'mafiꞌi': 1, 'malaꞌ': 1, 'amigufi': 1, 'mapaigon': 1}"
aom,18,"{'ugëro': 6, 'ugehu': 3, ""va'ëne"": 2, 'ugoho': 1, 'majo': 1, 'jijiharue': 1, 'uge': 1}"
aon,18,"{'armiguhw': 7, 'hwanaki': 3, 'hwani': 2, 'huhwebur': 1, 'hwanak': 1, 'hwehwru': 1, 'sikiruh': 1, 'hwupeum': 1}"
aoz,18,"{'kolo': 12, 'kolo-kolo': 4, 'anlaba': 1, 'anbine': 1}"
apb,18,"{'menu': 15, 'aapu': 2, 'manu': 1}"
ape,18,"{'almiguh': 9, 'hwehilau': 3, 'hwanaki': 2, 'hwanak': 1, 'chupemu': 1, 'hwape': 1}"
apn,18,"{'kuwênhre': 7, 'nhĩmõk': 2, 'àk': 2, 'amnhĩm': 1, 'mẽmo': 1, 'rỳ': 1}"
apr,18,"{'man': 8, 'tiro': 4, 'tikamata': 2, 'matana': 2, 'nga': 1}"
apt,18,"{'piita': 13, 'gonii': 3, 'gohatii': 2}"
apu,18,"{'kotipiriki': 11, 'araãkani': 4, 'maiori': 1}"
apw,18,"{'dlǫ́’': 7, 'nada’iṉiihíí': 4, 'yúdahyú': 2, 'íła’adzaago': 2, 'nadaakaigo': 2, 'dlǫ’': 1}"
apy,18,"{'torõ': 14, 'kurumu': 2, 'esaryme': 1}"
apz,18,"{'yɨhufo': 9, 'yakolonoho': 1, ""nohu'mehinowentanɨngki"": 1, 'kengofoho': 1, ""lɨwo'nɨngkuhwone"": 1, 'fekwowentanɨngkofo': 1}"
arb,135,"{'ٱلطُّيُورِ': 14, 'طُيُورِ': 10, 'طَائِرٍ': 8, 'لِطُيُورِ': 7, 'وَطُيُورَ': 5, 'ٱلطَّيْرِ': 5, 'طُيُورَ': 5, 'وَطُيُورِ': 4, 'تَأْكُلُهُ': 4, 'طُيُورُ': 4, 'طَيْرِ': 3, 'وَطَيْرِ': 3, 'ٱلطَّائِرَ': 3, 'كَطَائِرٍ': 3, 'جَنَاحٍ': 2, 'طَيْرٍ': 2, 'كَعُصْفُورٍ': 2, 'طَيْرَ': 2, 'ٱلطُّيُورُ': 2, 'وَٱلطُّيُورِ': 2, 'طُيُورٌ': 1, 'وَلْتَكْثُرِ': 1, 'ٱلطَّائِرَانِ': 1, 'وَنَزَلَتِ': 1, 'وَٱلطَّيْرِ': 1, 'وَخَشَبَ': 1, 'ٱلطَّائِرُ': 1, 'فَيَأْخُذُهُ': 1, 'طَائِرَيْنِ': 1, 'وَٱلطَّائِرَ': 1, 'ٱلطَّائِرِ': 1, 'مُخْتَارَةٍ': 1, 'فِخَاخُ': 1, 'يَعْرِفْهُ': 1, 'وَطُيُورًا': 1, 'اَلطَّائِرُ': 1, 'تَجْثُمُ': 1, 'ذَوَاتُ': 1, 'وَكَٱلطَّائِرِ': 1, 'لِلطَّائِرِ': 1, 'كَٱلطَّائِرِ': 1, 'وَكَٱلطُّيُورِ': 1, 'هَارِبٍ': 1, 'لِجَوَارِحِ': 1, 'كَٱلطُّيُورِ': 1, 'ٱلطَّيْرَ': 1, 'ٱلطَّائِرُونَ': 1, 'طُيُورًا': 1, 'ٱلْبَهَائِمُ': 1, 'جَارِحٍ': 1, 'وَطُيُورُ': 1, 'مَأْكَلًا': 1, 'وَٱلطُّيُورُ': 1, 'أَطْرَحُهُمْ': 1, 'يَطِيرُ': 1, 'أَيَسْقُطُ': 1, 'وَلِطُيُورِ': 1, 'وَلِلْمَاشِيَةِ': 1}"
are,18,"{'thepa': 12, 'thepaka': 3, 'pitjima': 1}"
arl,18,"{'shuhuari': 7, 'jaacuatujuaca': 5, 'niquiricuaa': 1, 'riquiacuhuajiniji': 1, 'rucoojuacanio': 1, 'sacocuajuhuaj': 1}"
arn,18,{'üñüm': 17}
arp,4,"{'neahehauau': 2, 'neaheauau': 1, 'neahenaa': 1}"
ary,10,"{'طْيُورْ': 4, 'الطّْيُورْ': 4, 'وْطْيُورْ': 2}"
arz,135,"{'ٱلطُّيُورِ': 13, 'طُيُورِ': 11, 'طُيُورُ': 9, 'لِطُيُورِ': 7, 'وَطُيُورَ': 6, 'طَيْرِ': 5, 'كَعُصْفُورٍ': 4, 'وَطُيُورِ': 3, 'وَٱلطُّيُورُ': 3, 'ٱلْعُصْفُورَ': 3, 'ٱلْعُصْفُورِ': 3, 'طُيُورَ': 3, 'كَٱلْعُصْفُورِ': 3, 'ذِي': 2, 'ٱلطَّيْرِ': 2, 'وَٱلطُّيُورِ': 2, 'ٱلْعُصْفُورُ': 2, 'طَائِرٍ': 2, 'وَلِطُيُورِ': 2, 'وَلْيَطِرْ': 1, 'وَلْيَكْثُرِ': 1, 'ٱلطَّيْرُ': 1, 'فَنَزَلَتِ': 1, 'ٱلطُّيُورُ': 1, 'طَاهِرَانِ': 1, 'فَيَأْخُذُهُ': 1, 'وَخَشَبَ': 1, 'وَٱلْعُصْفُورَ': 1, 'طَائِرًا': 1, 'وَٱلطَّاهِرَةِ': 1, 'طَاهِرٍ': 1, 'طَيْرٍ': 1, 'وَعَنِ': 1, 'يُعْمَلُ': 1, 'حَوَالَيْكَ': 1, 'يَعْرِفْهُ': 1, 'وَكَرَمْلِ': 1, 'فَوْقَهَا': 1, 'تُعَشِّشُ': 1, 'كَطَيْرٍ': 1, 'وَكَالْعَصَافِيرِ': 1, 'طَيْرَ': 1, 'وَتُحَطُّ': 1, 'تَائِهٍ': 1, 'لِجَوَارِحِ': 1, 'كَطُيُورٍ': 1, 'ٱلْكَاسِرَ': 1, 'ٱلطَّائِرُونَ': 1, 'مَلْآنٍ': 1, 'ٱلْبَهَائِمُ': 1, 'ضَبُعٌ': 1, 'أَبْذُلُكَ': 1, 'لِطَائِرِ': 1, 'طَيْرًا': 1, 'أُلْقِيهِمْ': 1, 'تَطِيرُ': 1, 'عُصْفُورٌ': 1, 'فَجَاءَتِ': 1, 'وَلِلسَّمَكِ': 1, 'وَمَمْقُوتٍ': 1}"
asg,18,"{'nnu': 16, 'asakali': 2}"
aso,18,"{'nama': 4, 'nete': 3, ""a'navau'"": 2, 'gulosi': 1, ""numu'inesi"": 1, ""minivi'"": 1, 'alahaliti': 1, ""asele'"": 1}"
ata,42,"{'ngiala': 17, 'iouiou': 13, 'ngiangiala': 4, 'mimii': 1, 'noa': 1, 'nenusuluvi': 1, ""ngauaulixa'a"": 1, 'ivava': 1, ""vasime'a"": 1}"
atb,18,"{'nghoq': 8, 'pé': 7, 'nghoqzô': 1, 'zô': 1, 'pê': 1}"
atd,18,{'manukmanuk': 17}
atg,18,"{'ipfeli': 15, 'wẹ': 1, 'elamhakọ': 1, 'la': 1}"
att,18,"{'mammánù': 16, 'sináttolay': 1, 'makála-álirák': 1}"
auc,18,"{'ayamöidi': 7, 'ongonta': 2, 'cæwodäni': 2, 'awæ̈næca': 1, 'cæ̈mïnipa': 1, 'ömaadäni': 1, 'ongönäni': 1, 'ëmönö': 1, 'owodänipa': 1}"
aui,2,{'manu': 2}
auy,18,"{'numagó': 4, 'úmarena': 3, 'ánáamba': 1, 'numamá': 1, 'waí-waamba': 1, 'fíꞌon-tuwawaaꞌwaraꞌa': 1, 'minkáéꞌnáraiti': 1}"
ava,18,"{'хіанчіаз': 5, 'хіайваназул': 2, 'ралагье': 1, 'бусаби': 1, 'хіинчі': 1, 'роржун': 1, 'кванана': 1}"
avt,18,"{'hore': 12, 'meniuwe': 3, 'yaank': 2, 'mewik': 1}"
avu,18,"{'ãríwá': 15, 'êʼbéʼá': 1}"
awa,18,"{'चिड़ियन': 4, 'घोंसला': 3, 'पंछी': 3, 'चिरइयन': 2, 'पंच्छी': 1, 'चिरियन': 1, 'चिड़ियाँ': 1, 'रेंगइ': 1, 'चिरिया': 1, 'करइ': 1}"
awb,18,"{'ayahnaweraq': 3, 'kabarane': 2, 'kirabo': 1, 'karahrabahnkakáq': 1, 'wehukéní': 1, 'anonka': 1, 'weheme': 1, 'kabaramarínká': 1}"
awi,18,"{'smire': 14, 'smira': 2, 'aerwo': 1, 'tonanaekra': 1}"
awx,24,"{'kwäwilu': 5, 'kwäwit': 5, 'kwäwitkäyä': 2, 'pahakut': 1, 'hopikin': 1, 'käwutdu': 1, 'kwäwitdä': 1, 'gupda': 1}"
ayo,18,"{'chugúperone': 7, 'chugúperenie': 5, 'cusapo': 1, 'arapujnánguenie': 1, 'chagúode': 1}"
ayr,135,"{'jamach’inacas': 8, 'jamach’inacasa': 7, 'jamach’inacaw': 6, 'jamach’inacajj': 6, 'jamach’inacasti': 5, 'orakenjam': 4, 'jamach’inaca': 4, 'jamach’ir': 4, 'jamach’ejj': 3, 'jamach’inacarusa': 2, 'uywañ': 2, 'jamach’inacatsa': 2, 'jamach’i': 2, 'jacasquiri': 2, 'jamach’in': 2, 'jamach’inacaruw': 2, 'jiwapcani': 2, 'montenquir': 2, 'utjir': 1, 'sutinac': 1, 'chhaktayä': 1, 'casta': 1, 'animalanacasa': 1, 'thoknaker': 1, 'jamach’inacampi': 1, 'jamach’inacjja': 1, 'aychanac': 1, 'jamach’inacaraquiw': 1, 'jamach’ïnejja': 1, 'acnïrinacwa': 1, 'jamach’jja': 1, 'maynïrwa': 1, 'jamach’inacatejj': 1, 'k’añüpqui': 1, 'animalanacjja': 1, 'k’omat': 1, 'jamach’inacana': 1, 'jac’aycänti': 1, 'jiwcani': 1, 'jichhajj': 1, 'pacalinacasa': 1, 'jamach’inac': 1, 'jamach’impjamati': 1, 'aycha': 1, 'allkamärinacan': 1, 'patjjanquir': 1, 'animalanaca': 1, 'chhakat': 1, 'jamach’inacataqui': 1, 'mä': 1, 'jamach’jamawa': 1, 'animalanacan': 1, 'jamach’irjama': 1, 'jamach’inacampiwa': 1, 'patjjarusti': 1, 'alajjpach': 1, 'sillunacapjamaraquëjjänwa': 1, 'uñtataraquïnwa': 1, 'pampanquir': 1, 'jacjjatäjja': 1, 'sarawayjjani': 1, 'egiptotsti': 1, 'munatäpjjtawa': 1, 'jamach’inacaru': 1, 'castaraquiwa': 1, 'tapaparaqui': 1}"
aze,135,"{'гушлар': 23, 'ганадлы': 17, 'гуш': 16, 'гушлары': 15, 'гушлара': 8, 'гушу': 6, 'гушун': 4, 'гуштәк': 4, 'мәхлуглары': 3, 'гушлардан': 3, 'учан': 3, 'гушларын': 2, 'мејитләри': 2, 'гушларынын': 2, 'гајнашан': 1, 'мејитини': 1, 'ордуҝаһдакы': 1, 'өјрәдәр': 1, 'дүзүлүб': 1, 'ојнадығын': 1, 'бир-бир': 1, 'јанындагушлар': 1, 'чалан': 1, 'јурдундан': 1, 'тәләјә': 1, 'атылмыш': 1, 'гәфәс': 1, 'учуб': 1, 'гуша': 1, 'гушларла': 1, 'гијмәтлисиниз': 1, 'ҝөј': 1, 'мал-гаранынкы': 1}"
azg,18,"{'quintsa': 4, ""quintsahin'"": 2, ""o'"": 2, ""nin'quintsa"": 2, ""nnan'ya"": 1, 'ntycya': 1, ""ñ'enhan'"": 1, ""quindyaahin'"": 1, ""tonan'ya"": 1, ""ma'ntyja"": 1, ""tcüa'"": 1}"
azz,18,"{'patantinemij': 7, 'tototzitzin': 5, 'ejecaixco': 1, 'pantantinemij': 1, 'tecuanime': 1, 'cuouxaxaca': 1, 'cuixinme': 1, 'totome': 1}"
bak,18,"{'ҡоштар': 6, 'ҡоштарға': 4, 'ҡоштарҙың': 3, 'осоп': 2, 'ояһына': 1}"
bam,18,"{'kɔnɔw': 15, 'mangow': 1, 'pantaw': 1}"
ban,18,"{'kedise': 3, 'kedis-kedise': 3, 'ngamah': 2, 'paksi-paksine': 2, 'soroh': 2, 'paksine': 2, 'kedis': 1, 'wastrane': 1, 'kagetingin': 1}"
bao,18,"{'minia': 11, 'wʉʉrã': 2, 'batiri': 1, 'peja': 1, 'cʉoma': 1, 'weeri': 1, 'tutire': 1}"
bar,135,"{'vögl': 81, 'vogl': 16, 'gramvögl': 4, 'fislnd': 3, 'gvicket': 2, 'vogerl': 2, 'vogerln': 2, 'vogleyn': 2, 'artn': 1, 'flügltierer': 1, 'drausst': 1, 'bist': 1, 'spengl': 1, 'schmacht': 1, 'voglgleich': 1, 'spaz': 1, 'anfangend': 1, 'ayn': 1, 'adler': 1, 'dyrhergschwöbt': 1, 'ursach': 1, 'allerlai': 1, 'voglkrälln': 1, 'fliegt': 1}"
bav,18,"{'mənwə': 14, 'vɨɨlə': 3, 'fənwə': 1}"
bba,135,"{'gunɔsu': 64, 'gunɔ': 25, 'ga': 5, 'ge': 3, 'gunɔsa': 3, 'gue': 2, 'kasa': 2, 'yi': 1, 'yaberekunu': 1, 'kira': 1, 'kpurowa': 1, 'goru': 1, 'wãasi': 1, 'yɔ̃ɔwa': 1, 'yɛɛgii': 1, 'gunɔminɔ': 1, 'mɛ': 1, 'swĩima': 1, 'gandun': 1, 'sosi': 1, 'gunɔsɔ': 1, 'mɔrin': 1, 'tɔmbugia': 1}"
bbb,43,"{'ume': 24, 'kave': 2, 'binobino': 1, 'aeko': 1, 'noa': 1, 'burede': 1, 'kira': 1, 'arina': 1, 'tabarekina': 1, 'karinoeve': 1}"
bbc,18,"{'pidong': 14, 'martongatonga': 2, 'hagigian': 1}"
bbj,18,"{'to': 4, 'msəŋ': 3, 'ntha': 3, 'pǒmsəŋ': 2, 'kɛbəŋ': 1, 'pǒmsə́ŋ': 1, 'msə́ŋ': 1, 'səŋ': 1, 'sə́ŋ': 1, 'cwəpùŋ': 1}"
bbr,18,"{'raut': 7, 'ai': 6, 'rautes': 2, 'raiäi': 1, 'tukware': 1}"
bch,42,"{'man': 33, 'gid': 3, 'tirau': 1, 'ga': 1, 'pagid': 1}"
bci,18,"{""anunman'm"": 9, 'anunman': 7, 'tété': 1, 'dii': 1}"
bcl,18,"{'gamgam': 16, 'minagibo': 2}"
bco,3,"{'o꞉ba꞉': 1, 'ko꞉li': 1, 'nano꞉lo꞉': 1}"
bcw,18,"{""'yegwer"": 9, 'ɓa': 3, 'igwə': 2, 'ghyeghyer': 1, 'səəkəə': 1, 'ghənghən': 1}"
bdd,18,"{'bwasumo': 7, ""si'itediya"": 3, 'bwasumowao': 3, ""'ale'oina"": 1, 'wahidi': 1, ""sihe'asaeya"": 1, 'sitahetaheya': 1}"
bdh,18,"{'solụ́-e': 9, 'solụ́': 4, 'ógụyé': 2, 'ye': 1, 'sụụ': 1}"
bea,2,{'chua': 2}
bef,18,"{'namamagi': 6, 'limo': 1, 'bilina': 1, 'ligite': 1, ""noha'ani"": 1, 'lopi': 1, ""kafa'namamofihi"": 1, 'namamagihi': 1, ""li'ehilinamo"": 1, ""fato'magi"": 1}"
bel,18,"{'птушкі': 11, 'птушак': 6}"
bem,135,"{'fyuni': 42, 'ifyuni': 26, 'cuni': 20, 'fipupuka': 10, 'ifipupuka': 8, 'icuni': 8, 'mapindo': 3, 'cikaye': 2, 'icipupuka': 2, 'cipupuka': 1, 'kuisangulwilako': 1, 'akacisende': 1, 'inkose': 1, 'aponeshe': 1, 'akoni': 1, 'ficingilila': 1, 'balepupuka': 1, 'bwaya': 1, 'bapata': 1}"
ben,135,"{'পাখী': 33, 'পাখীরা': 20, 'পাখীর': 16, 'আকাশের': 15, 'পাখীদের': 5, 'পাখীও': 4, 'বুকে-হাঁটা': 3, 'পাখীটা': 3, 'পাখীতে': 3, 'শকুন': 2, 'উড়ে': 2, 'বেড়াক': 1, 'সৃষ্টি': 1, 'তুলুক': 1, 'জীবজন্তু': 1, 'জাতের': 1, 'পাক': 1, 'পাখীগুলো': 1, 'মধ্যেকার': 1, 'পাখীটাকে': 1, 'কোন্\u200cগুলো': 1, 'বেড়ানো': 1, 'ডানা': 1, 'পাতা': 1, 'গোপন': 1, 'খেতে': 1, 'ডানাযুক্ত': 1, 'শিকারীর': 1, 'ঘুরে': 1, 'খাঁচা': 1, 'পাখীরাও': 1}"
beq,18,"{'banoni': 16, 'bo': 1, 'babele': 1}"
bex,18,"{'yali': 17, 'kïnë': 1}"
bfd,18,"{'bɨ̀sɨŋ': 9, 'bɨ̂sɨŋ': 4, 'bɨsɨŋ': 2, 'ǹsyɛ': 2, 'kɨ̂': 1}"
bfo,18,"{'wɛ-lili': 8, 'lili': 6, 'pɩrɛ': 2, 'bʋrɔ': 1}"
bgr,18,"{'vâ': 13, 'va': 5}"
bgs,42,"{'manuk': 26, 'kayun': 8, 'klasi': 3, 'áglayang': 2, 'ágpanó': 1, 'kayu': 1}"
bgz,18,"{'kotomisi': 7, 'tomisi': 4, 'kotomisi-tomisi': 3, 'tomisi-tomisi': 2, 'hanggapi': 1}"
bhg,8,"{'wotedo': 2, 'wasidemi': 2, 'abu': 2, 'ni': 1, 'nimaneda': 1}"
bhl,47,"{'awon': 35, 'bi': 3, 'ikati': 2, 'bel': 1, 'biso': 1, 'aim': 1, 'gekabiliw': 1}"
bhp,18,"{'nasi': 11, 'nasi-nasi': 7}"
bib,18,"{'bɛnnɔ': 15, 'werm': 2, 'gaatam': 1}"
big,18,"{'winakwiligu': 7, 'winak': 4, 'wei': 3, 'lewi': 1, 'kailewili': 1}"
bim,18,"{'nɔɔnii': 13, 'nɔɔnii-i': 1, 'wai': 1}"
bis,18,{'pijin': 18}
biu,18,"{'ivahei': 7, 'iva': 6, 'ivahein': 5}"
biv,18,"{'lubil': 16, 'bʋ̃vʋʋrsɩ': 1}"
