concept,language,translations
fish,lit,"['žuvis', 'žuvų', 'žuvys', 'žuvies', 'žuvį', 'žuveles', 'žuvims', 'dagono', 'žeberklu', 'žvejos', 'prikabinsiu', 'išbuvo', 'likučių', 'medaus', 'žuvimis']"
fish,mlt,"['l-ħut', 'il-ħut', 'ħut', 'ħuta', 'ħutiet', 'bħall-ħut', 'tal-kanali', 'mill-ħut', 'tal-ħut', 'rasu', 'jistadu', 'tal-ħuta', 'lill-ħuta']"
fish,rus,"['рыбы', 'рыбу', 'рыб', 'рыба', 'рыбок', 'морскими', 'рыбных', 'рыбные', 'рыбе', 'рыбой', 'рыбья', 'рыбах', 'острогами', 'ловить', 'рыбам', 'рыбки']"
fish,srp,"['ribe', 'riba', 'ribu', 'ribama', 'ribljih', 'ribica', 'riblji', 'riblja', 'ribljim', 'kopljem', 'loviti', 'ribi']"
fish,slk,"['ryby', 'rýb', 'rybu', 'rybiek', 'rybách', 'rybnú', 'rybnej', 'rybami', 'rybia', 'rybárskymi', 'loviť', 'ryba', 'rybe', 'morským', 'rybolove', 'rybky']"
fish,swe,"['fiskar', 'fisk', 'fiskarna', 'fisken', 'fiskporten', 'fiskens', 'fiskdelen', 'ljuster', 'fiska', 'fiskarnas', 'fiskars']"
fish,ces,"['ryby', 'ryb', 'rybu', 'rybách', 'rybnou', 'rybné', 'ryba', 'rybek', 'rybí', 'lovit', 'rybě', 'mořskými']"
fish,gla,"['iasg', 'dhiasg', 'aca']"
fish,msa,"['ikan', 'ekoer', 'menghimpoenkan']"
fish,fas,"['ماهی', 'ماهی\u200cها', 'ماهی\u200cهای', 'ماهی\u200cهایی', 'داشتند', 'بکشند', 'دارند']"
fish,hye,"['ձկները', 'ձկների', 'ձուկ', 'ձուկը', 'ձկան', 'ձկներ', 'ձկներին', 'ձկից', 'ձկներով', 'եռաժանիներով', 'ձկներն', 'կորսան', 'ձկներից', 'ձկներինը']"
bird,eng,"['birds', 'bird']"
bird,spa,"['pájaro', 'aves', 'pájaros', 'ave', 'trampas']"
bird,deu,"['vögel', 'vogel', 'vogels', 'vögeln', 'raubvogel', 'raubvögel', 'geflügel', 'vogelfallen', 'bunter']"
bird,zho,"['飞鸟', '鸟', '雀鸟', '活鸟', '飞', '飞禽', '飞来', '有羽', '鸟类', '有', '鸷鸟', '主啊', '嘲弄', '飞去', '搧', '栖宿', '吃掉', '昆虫', '牢笼']"
bird,fra,"['oiseaux', 'oiseau', 'l’oiseau', 'd’oiseaux']"
bird,nld,"['vogels', 'vogel', 'roofvogels', 'roofvogel', 'gevogelte', 'vogelstrikken', 'vógels']"
bird,pol,"['ptaki', 'ptak', 'ptaka', 'ptaków', 'ptakom', 'ptactwo', 'wszędzie', 'ptaszkiem', 'drapieżnego', 'ptasie']"
bird,tur,"['kuş', 'kuşlar', 'kuşları', 'kuşu', 'kuşların', 'kuşlardan', 'kuşa', 'dallarına', 'kuşlara', 'tüneyecek', 'etrafın', 'oynar', 'kuşlarına', 'değerlisiniz', 'gördüm', 'kuşlarınki', 'kuşun']"
bird,afr,"['voëls', 'voël', 'roofvoëls', 'roofvoël', 'daar', 'vlieënde', 'verskillende']"
bird,cat,"['ocells', ""d'ocells"", 'aus', 'repugnants']"
bird,dan,"['fugl', 'fugle', 'fuglene', 'fuglen', 'fuglens', 'der', 'rovfuglene', 'hidkalder', 'rovfugl', 'fugles', 'fuglenes']"
bird,fin,"['linnut', 'lintu', 'lintuja', 'linnun', 'lintujen', 'lintua', 'linnulla', 'linnunpyydyksiä', 'petolintu', 'lintukin', 'monivärinen', 'kaikensiipisille', 'taivaan', 'linnuille']"
bird,ell,"['πουλιά', 'πουλί', 'πουλιού', 'πουλιών', 'αρπακτικό', 'αρπακτικά']"
bird,hun,"['madár', 'madarat', 'madarak', 'madarai', 'madarakat', 'madarait', 'madarainak', 'vesznek', 'madárral', 'szárnyasok', 'madárszóra', 'otthagyatnak', 'madárra', 'madaraknak', 'legkülönfélébb', 'madaraknál', 'madaraké', 'ég']"
bird,isl,"['fuglar', 'fugla', 'fuglarnir', 'fuglunum', 'fuglum', 'fuglanna']"
bird,gle,"['éanlaith', 'éan', 'éin', 'héin', 't‑éan', 'tá', ""d'éan"", 'gealbhan', 'aeir', 'ghealbhain', 'héan', ""d'éin"", 'bpreabann', 'cló']"
bird,xho,"['iintaka', 'neentaka', 'intaka', 'njengentaka', 'ephilileyo', 'zayidla', 'lentaka', 'ujikelezwe', 'inyama', 'ngentaka', 'kwanentaka', 'ndinjengentaka', 'unjengentaka', 'nanjengentaka', 'sentaka', 'njengeentaka', 'iintlobo', 'ezintakeni', 'kwiintaka', 'zanjengezeentaka', 'kuneentaka', 'onokonakala', 'nezezinto']"
bird,ita,"['uccelli', 'uccello', 'l’uccello', 'vivo', 'dell’uccello']"
bird,lit,"['paukščiai', 'paukštis', 'paukščių', 'paukštį', 'paukščius', 'padangių', 'žvirblis', 'tekantis', 'patekai', 'paukščiu', 'narvu']"
bird,mlt,"['l-għasafar', 'għasfur', 'għasafar', 'l-għasfur', 'mill-għasafar', 'lill-għasafar', 'il-ħaj', 'tjur', 'madwarek', 'b’għasfur', 'bħall-għasafar', 't’għasfur', 'għall-għasfur', 'bħad-dwiefer', 't’għasafar', 'mibgħuda']"
bird,rus,"['птицы', 'птица', 'птиц', 'птицу', 'птицей', 'обитали', 'расставлены', 'хищная', 'птичкой', 'птичка', 'горной', 'небесными', 'птицам']"
bird,srp,"['ptice', 'ptica', 'pticu', 'pticama', 'ptičarske', 'pticom', 'ptičji', 'gorskim', 'ptičje']"
bird,slk,"['vtáka', 'vták', 'vtáci', 'nebeskí', 'vtáky', 'vtákov', 'vtákom', 'vtáčikom', 'osamelému', 'vtákovi', 'vtáčie']"
bird,swe,"['fåglar', 'fågel', 'fåglarna', 'fågeln', 'rovfågel', 'fågelns', 'det', 'rovfåglarna', 'fågelklor', 'fåglars']"
bird,ces,"['ptáci', 'pták', 'ptáka', 'ptáky', 'ptákům', 'ptáků', 'ptačí', 'ptáku', 'ptákem', 'dravý']"
bird,gla,"['athair', 'eoin']"
bird,msa,"['boeroeng', 'onggas', 'boewas', 'kabentjian']"
bird,fas,"['پرندگان', 'خزنده', 'مبدّل', 'پرندگانی']"
bird,hye,"['թռչունները', 'թռչնի', 'թռչունը', 'թռչուններին', 'թռչուն', 'թռչունի', 'թռչուններ', 'թռչունների', 'թռչուններից', 'թռչունն', 'թռչունին', 'թռչուննե՛ր', 'թռչուններն', 'ճյուղերի']"
bird,est,"['linnud', 'linde', 'lindude', 'urud', 'lindudest', 'kesktaevas']"
bird,cym,"['aderyn', 'adar', 'ehediaid', 'to', 'ddisgynnai', 'mae']"
dog,eng,"['dogs', 'dog']"
dog,spa,"['perros', 'perro', 'perritos']"
dog,deu,"['hunde', 'hund', 'hunden', 'hundes', 'hinzuwerfen', 'vorzuwerfen']"
dog,zho,"['狗', '小狗', '像狗', '野狗', '带入', '洗', '池旁', '犬', '应允', '利刀', '饱足', '队伍', '掉下来']"
dog,fra,"['chiens', 'chien', 'crevé']"
dog,nld,"['honden', 'hond', 'hondjes', 'hondenprijs', 'hónden']"
dog,pol,"['psy', 'pies', 'psa', 'psom', 'psem', 'psami', 'psów', 'szczeniętom', 'szczenięta', 'psu']"
dog,tur,"['köpekler', 'köpek', 'köpeklere', 'köpeğin', 'köpeği', 'köpeklerdir', 'kirli', 'köpeğe', 'köpekten', 'köpeklerin', 'düşmandan', 'götürmek']"
dog,afr,"['honde', 'hond', 'hondjies', 'hondeprys']"
dog,cat,"['gossos', 'gossets', 'gos']"
dog,dan,"['hund', 'hundene', 'hunde', 'hundens', 'hundes']"
dog,fin,"['koirat', 'koira', 'koirille', 'koiran', 'koiria', 'olen', 'koiraako', 'panemasta', 'koiriesi', 'korvista', 'koirilla', 'niskan']"
dog,ell,"['σκύλοι', 'σκύλος', 'σκύλους', 'σκύλο', 'σκυλάκια', 'σκύλου', 'σκύλων']"
dog,hun,"['kutyák', 'eb', 'kutyáknak', 'kutyának', 'kutya', 'odavetni', 'kiskutyák', 'mordul', 'ebet', 'kutyánál', 'kutyái', 'kutyáid', 'járókelő', 'kutyákat', 'kutyáktól']"
dog,isl,"['hundarnir', 'hundana', 'kastið', 'hundar', 'hundunum', 'hundur']"
dog,gle,"['madraí', 'madra', 'mhadra', 'sceamhaíl', 'madaí', 'gcoileán', 'coileáin', 'gadhair', 'ligh', 'bhfeighil', 'dhuibheagáin', 'madadh']"
dog,xho,"['izinja', 'zizinja', 'inja', 'njengenja', 'lenja', 'nezinja', 'ezinjaneni', 'iinjana', 'nanja', 'ezinjeni', 'njengokuxhapha', 'ndiyinja', 'nja', 'zinja', 'oyinja', 'lwezinja', 'bazizinja', 'yenja']"
dog,ita,"['cani', 'cane', 'cagnolini']"
dog,lit,"['šunys', 'šuo', 'šunį', 'šunų', 'šunyčiai', 'numeskite', 'neatnešk', 'suės', 'gyvybę', 'šuniui', 'šunims', 'šunyčiams', 'mesti']"
dog,mlt,"['kelb', 'il-klieb', 'l-klieb', 'il-kelb', 'lill-klieb', 'bħall-klieb', 'klieb', 'lill-ġriewi', 'mal-klieb', 'il-ġriewi', 'l-ġriewi', 'mill-klieb']"
dog,rus,"['собаки', 'пса', 'пёс', 'псы', 'собака', 'собакам', 'собак', 'собаке', 'собачкам', 'собачки', 'псами', 'лап', 'псов']"
dog,srp,"['psi', 'pas', 'psima', 'psa', 'psu', 'kučićima', 'kučići', 'pasje', 'pasa', 'hvata', 'pse', 'nečistih']"
dog,slk,"['pes', 'psy', 'psom', 'psi', 'psa', 'psovi', 'psov', 'psíkom', 'psíci', 'psíky']"
dog,swe,"['hundarna', 'hund', 'hundar', 'hunden', 'pengar', 'vallhundarna', 'hundars']"
dog,ces,"['psi', 'pes', 'psy', 'psům', 'psíkům', 'psíci', 'psa', 'psem', 'psu', 'psí', 'psů', 'takový', 'psovi']"
dog,gla,"['con', 'cuileinean']"
dog,msa,['andjing']
dog,fas,"['انداخته', 'سگ\u200cهای', 'سگ\u200cها', 'مدهید', 'بپرهیزید', 'سگ']"
dog,hye,"['շները', 'շան', 'շներին', 'շունը', 'շուն', 'գցել', 'շնիկներն', 'շո՞ւն', 'շա՞ն', 'շանը', 'լակեցին', 'շների', 'շներիդ', 'շունն', 'շներ', 'լիզում', 'շներից']"
dog,est,"['kutsikatele', 'koertele', 'kutsikad', 'raasukesi', 'koeradki', 'koerte', 'koer', 'koerad']"
dog,cym,"['cŵn', 'ci', 'gi', 'gŵn', 'chŵn', 'cenawon']"
tree,eng,"['tree', 'trees']"
tree,spa,"['árbol', 'árboles', 'higuera', 'olivos', 'palmeras', 'olivo', 'sicómoros', 'enebros', 'enebro', ',', 'cedros', 'frondoso', 'palmera', 'higueras', 'mirtos', 'tamarisco', 'retamas', 'espinosos', 'frutales', 'manzano', 'moral', 'frutal', 'olivares', 'débora', 'granado', 'álamos', 'nogales', 'si', 'húmedo']"
tree,deu,"['baum', 'bäume', 'feigenbaum', 'bäumen', 'baumes', 'olivenbäume', 'wacholderbaum', 'olivenbaum', 'wacholderbäume', 'fruchtbäume', 'tamariske', 'holz', 'palmen', 'palmenstadt', 'palme', 'maulbeerfeigenbäume', 'baumart', 'feigenbäume', 'algumịnbäumen', 'algumịnbäume', 'ginsterstrauch', 'olivenbäumen', 'umhauen', 'gleich', 'ginstersträuchern', 'olivenbaums', 'stehen', 'myrtenbäumen', 'storaxbaum', 'fruchtbaums', 'abklopfst', 'granatapfelbaum', 'zedernbäume', 'festgehalten', 'maulbeerfeigenbäumen', 'stachligen', 'lotusbäume', 'hütet', 'mandelbaum', 'apfelbaum', 'erklimmen', 'erblüht', 'weckte', 'erbeben', 'olivenbaumes', 'aufgehen', 'mandelbaumschößling', 'setzte', 'verwüsten', 'bewässern', 'sagen', 'maulbeerfeigenbaum', 'warst', 'herausgeschnitten']"
tree,zho,"['树', '树木', '果树', '橡树', '树上', '下', '橄榄树', '棵', '桑树', '松树', '果子', '棵树', '树枝', '树林', '杏树', '石榴树', '棕树城', '旁', '柏木', '上', '松木', '檀香木', '莲叶', '木头', '灌木', '果树学', '树从', '去的路', '方舟', '那里', '歇', '橄榄园', '城耶利哥', '橡树林', '草木', '连接', '树下', '木材', '琴挂', '木', '园去', '开花', '林中', '无花果', '教导', '柴', '木料', '一样', '长', '河谷', '骑兵', '火盆', '树结', '棕树枝']"
tree,fra,"['arbre', 'arbres', 'figuier', 'l’arbre', 'd’arbres', 'palmiers', 'oliviers', 'sycomores', 'genévriers', 'l’olivier', 'cèdre', 'genévrier', 'palmier', 'd’algoummim', 'luxuriant', 'figuiers', 'myrtes', 'fruitiers', 'tamaris', 'd’amandier', 'd’arbre', 'olivier', 'genêt', 'genêts', 'épineux', 'pommier', 'bois', 'résineux', 'splendides', 'grenadier', 'trouvait', 'huile', 'd’olivier', 'noyers', 'grenadiers', 'l’acacia', 'acacias', 'sycomore', 'noir', 'figuier-mûrier']"
tree,nld,"['boom', 'bomen', 'vijgenboom', 'olijfbomen', 'olijfboom', 'geboomte', 'sycomoorbomen', 'jeneverboom', 'palmenstad', 'cederbomen', 'algummimbomen', 'jeneverbomen', 'vruchtbomen', 'tamariskboom', 'palmbomen', 'boomsoort', 'palmboom', 'vijgenbomen', 'mirtebomen', 'omhakken', 'bremstruiken', 'amandelboom', 'appelboom', 'boomvruchten', 'afslaat', 'granaatappelboom', 'vast', 'neer', 'legt', 'lotusbomen', 'olijfboomstekken', 'populierbomen', 'was', 'bloei', 'opeten', 'bevloeien', 'zeggen', 'waart']"
tree,pol,"['drzewa', 'drzewo', 'drzew', 'drzewem', 'drzewami', 'drzewie', 'palm', 'algumowego', 'figowego', 'sykomory', 'drzewu', ',', 'tamaryszkiem', 'drzewach', 'janowcem', 'janowców', 'palmę', 'drzewom', 'tamaryszek', 'debory', 'cedrowych', 'sykomorami', 'szydlice', 'bryłami', 'palma', 'topolach', 'jabłoń', 'orzechowego', 'granatowce', 'pościnano', 'wierzbę', 'wilgotne', 'akacjową', 'sykomorach', 'figowemu', 'palmowe']"
tree,tur,"['ağacı', 'ağacın', 'ağaç', 'ağaçları', 'ağaçlar', 'ağacının', 'ağaçların', 'ağacına', 'ağaçlarını', 'ağaca', 'ağacıdır', 'ağaçlarından', 'ağaçlara', 'ağaçlarının', 'ağaçlardan', 'ağacından', 'ağaçtan', 'ağaçlarla', 'ağaçlarına', 'ağaçta', 'ardıç', 'sandalağacı', 'kerestelerinden', 'çalının', 'zeytin', 'ağacını', 'ağacında', 'incir', 'kabuklarını', 'ağaçlık', 'zeytinlikleri', 'tomrukları', 'bağlantılar', 'köklerini', 'dalar', 'iri', 'süpürgeçalısının', 'ağacındaki', 'inmiştim', 'ülkeye', 'keseceğim', 'adak', 'demesin', 'dalı', 'yutacaklar', 'kılan', 'asmayı', 'küçümsüyor', 'ağacınızın', 'sulayacak', 'ağaçlarınızı', 'dalının', 'basacak', 'ağacınız', 'benziyor', 'dibinde', 'dalları', 'meyvesiz']"
tree,cat,"['figuera', 'arbre', 'arbres', ""l'arbre"", 'bons', 'morera', 'palmeres', ""l'olivera"", 'oliveres']"
tree,dan,"['træ', 'træer', 'træerne', 'figentræet', 'figentræ', 'træet', 'oliventræer', 'oliventræ', 'palmebyen', 'enebærtræer', 'enebærtræ', 'frugttræer', 'oliventræet', 'cedertræ', 'morbærfigentræ', 'figentræer', 'myrterne', 'palmetræer', 'palme', 'tamarisken', 'enebærtræerne', 'almugtræ', 'almugtræet', 'lotustræerne', 'morbærfigentræer', 'vintræet', 'havens', 'tamarisk', 'granatæbletræ', 'almindeligt', 'gyvelbusk', 'gyvelbusken', 'olivenolietræer', 'morbærfigentræerne', 'er', 'gyveltræ', 'poplerne', 'mandeltræet', 'æbletræ', 'træsorter', 'palmen', 'granatæbletræerne', 'æggede', 'fryder', 'cederen', 'skyde', 'enebærtræet', 'det', 'skulle', 'oliventræets', 'regnflodsdal', 'morbærfigner', 'figentræerne', 'morbærtræ']"
tree,fin,"['puun', 'puu', 'puita', 'puiden', 'puut', 'puusta', 'alla', 'viikunapuu', 'puista', 'kataja', 'puuta', 'oliivipuu', 'alle', 'sykomoripuut', 'viikunapuusta', 'puussa', 'palmua', 'puille', 'myrttipuiden', 'oliivipuuta', 'viikunapuun', 'hedelmäpuita', 'puulle', 'setripuita', 'algumpuita', 'algumpuista', 'viikunapuustaan', 'oliivipuiden', 'valiokatajat', 'kinsteripensaan', 'katajat', 'karistettaessa', '-', 'puunne', 'oliivipuut', 'oliivipuutasi', 'oliivipuita', 'puusi', 'laaksotasangon', 'palmukaupungista', 'palmukaupungin', 'setripuiden', 'varassa', 'katajapuilla', 'sykomoripuita', 'palmukaupunkiin', 'toivoa', 'lootuspuut', 'puustoa', 'raekivillä', 'palmu', 'pistokkaita', 'hedelmäpuut', 'viikunapuuta', 'mantelipuu', 'katajia', 'varhaisviikunoissa', 'palmuun', 'kukkaan', 'katajatkin', 'setrin', 'puulajin', 'eteen', 'puiksi', 'mantelipuun', 'viikunapuussa', 'viikunapuunsa', 'oliivipuun', 'viikunapuustani', 'viikunapuunne', 'puhkoja', 'keihäitä', 'oksakimppua', 'viikunapuulle', 'puilta', 'puuksi', 'mustamulperipuulle', 'metsäviikunapuuhun', 'oksia', 'puuhun']"
tree,hun,"['fa', 'fát', 'fák', 'fái', 'fája', 'fügefa', 'fának', 'alatt', 'borókafenyő', 'olajfa', 'fákat', 'fájáról', 'fáinak', 'pálmafák', 'fügefát', 'fáiból', 'fáját', 'fáról', 'fákról', 'fára', 'termését', 'cédrus', 'fügefán', 'mirtuszfák', 'pálmafa', 'olajfák', 'fán', 'fáknak', 'alá', 'cédrusfát', 'fügefájáról', 'olajfáknak', 'borókafenyőit', 'lótuszfák', 'borókafenyők', 'fügefáról', 'gyökerén', 'teremnek', 'fájához', 'tartalmú', 'ültetett', 'sztóraxfa', 'fákon', 'fáit', 'olajfáid', 'fádat', 'fánál', 'fához', 'fájának', 'faágat', 'fájáig', 'gránátalmafa', 'erősítve', 'almuggimfát', 'virágát', 'gyökere', 'szikomorfáikat', 'nő', 'összetörte', 'parazsa', 'asztalod', 'akasztottuk', 'gyümölcsfák', 'ültettem', 'mandulafa', 'tömjénfa', 'kertbe', 'melleid', 'kivirágoztak-e', 'fájára', 'vágattak', 'akáciát', 'boruljak', 'hajtását', 'követett', 'szőlődet', 'lombú', 'fűzfát', 'elértek', 'fügefáját', 'olajfáé', 'fügefámat', 'völgyét', 'fügefáitokat', 'szedegetője', 'fügefák', 'fügefával', 'szőlőjébe', 'feketeeperfának', 'eperfügefára', 'olajfából', 'ugye', 'késő']"
tree,isl,"['tré', 'fíkjutré', 'fíkjutrénu', 'trjánna', 'fíkjutréð', 'tréð', 'trjánum', 'mórberjatré', 'fíkjutrénu`', 'pálmagreinar', 'olíuviði', 'tveir']"
tree,gle,"['crann', 'crainn', 'gcrann', 'chrann', 'chrainn', 'dair', 'adhmad', 'adhmaid', 'seiceamair', 'bpailmeacha', 'aitinn', 'gcrainn', 'almóinne', 'phailm', ""d'adhmad"", 'craobhach', 'holóige', 'chufróg', 'glas', 'daracha', 'thorthúil', 'zanainím', 'zánanaím', 'dhair', 'solamh', 'ghá', 'eagna', 'bíomaí', 'figí', 'ológ', 'talamh', 'céadras', 'úrchrann', 'mbiailí', 'shaileoga', 'chranna', 'teiribint', 'cufróga', 'giúis', 'tóir', 'bhfiáin', 'chraobhóg', 'úrghlas', 'sitím', 'eagar', 'coille']"
tree,xho,"['imithi', 'umthi', 'komthi', 'kwemithi', 'umkhiwane', 'nemithi', 'zemithi', 'njengomthi', 'omthi', 'emthini', 'yesikamore', 'enabileyo', 'nomthi', 'emithini', 'ngumthi', 'komkhiwane', 'lomthi', 'yesundu', 'ngemithi', 'yemithi', 'emkhiwaneni', 'somthi', 'umnquma', 'omkhulu', 'yomthi', 'mthi', 'nomkhiwane', 'zomthi', 'kwanemithi', 'yejunipha', 'emithi', 'womnquma', 'onameva', 'mithi', 'exandileyo', 'owomileyo', 'yimithi', 'kwimithi', 'onentlaka', 'neyomthi', 'isiqhamo', 'ezazishiywe', 'linemithi', 'ongayityalanga', 'kwimimandla', 'lemithi', 'kumthi', 'leminquma', 'bemithi', 'nangomthi', 'njengesundu', 'isemithini', 'bungumthi', 'ingumthi', 'yeyemithi', 'njengom-apile', 'womthi', 'kom-apile', 'iziqhamo', 'komnquma', 'zingumthi', 'abesithi', 'njengesomnquba', 'siyafunyanwa', 'emibini', 'kwicala', 'mjunipha', 'yeminquma', 'wayenomkhiwane', 'mkhiwane', 'kumnquma', 'engathwali', 'semithi']"
tree,ita,"['alberi', 'albero', 'fico', 'l’albero', 'dell’albero', 'olivi', 'palme', 'sicomori', 'ginepri', 'ginepro', 'cedro', 'd’albero', 'tamarisco', 'lussureggiante', 'palma', 'fichi', 'dell’olivo', 'mirti', 'all’albero', 'olivo', 'ginestra', 'ginestre', 'loto', 'mandorlo', 'melo', 'storace', 'debora', 'l’olivo', 'melograno', 'pioppi', 'd’alberi', 'noci', 'melograni', 'l’acacia', 'sull’albero', 'piantò', 'umido', 'acacie', 'ulivi', 'nero', 'sicomoro']"
tree,lit,"['medžių', 'medžiai', 'medis', 'medžius', 'medžio', 'medžiu', 'ąžuolu', 'medį', 'figmedis', 'medžiais', 'figmedžiu', 'figmedžius', 'palmių', 'ąžuolų', 'figmedį', 'alyvmedžių', 'alyvmedis', 'figmedžio', 'medžiui', 'raudonmedžio', 'figmedžių', 'kiparisai', 'mirtų', 'alyvmedžiai', 'vaisiai', 'slėnį', 'medžiams', 'ąžuole', 'kadagiu', 'vaismedžių', 'šakų', 'palmę', 'ąžuolai', 'kaip', 'vaismedžius', 'amorito', 'giraitę', 'drebulių', 'dešimtinės', 'miškinga', 'sodus', 'medyje', 'vaisius', 'link', 'deboros', 'pusės', 'ąžuolą', 'migrone', 'rąstais', 'kiparisus', 'alyvmedžio', 'šaknys', 'tankynėje', 'sunaikino', 'palmė', 'viršūnėje', 'atžalos', 'kedrai', 'luboskiparisai', 'obelim', 'uosį', 'alyvmedį', 'akacijų', 'kedrą', 'stabams', 'šaką', 'krūmokšnis', 'lazdą', 'lygintis', 'kiparisas', 'šilkmedžius', 'malkose', 'alyvų', 'medeliu', 'medelį', 'šilkmedžiui', 'šilkmedį', 'laukinio', 'knygos']"
tree,mlt,"['siġra', 'is-siġra', 'is-siġar', 'tas-siġar', 's-siġar', 'siġar', 's-siġra', 'tas-siġra', 'mis-siġra', 'mis-siġar', 'taż-żebbuġ', 'bħas-siġar', 't-tina', 'il-kbar', 'lis-siġar', 'it-tina', 'tħaddar', 'bħas-siġra', 'mas-siġar', 'tina', 'bis-siġar', 'ż-żebbuġa', 'sas-siġra', 'taċ-ċedru', 'xewk', 'fit-tina', 'lit-tina']"
tree,rus,"['дерево', 'деревья', 'деревьев', 'дерева', 'деревом', 'инжир', 'маслины', 'пальм', 'деревьями', 'деревьям', 'инжиром', 'инжира', 'можжевельники', 'инжире', 'дереву', 'полевое', 'маслина', 'можжевельник', 'дереве', 'сикоморы', 'маслинами', 'тамариском', 'брёвна', 'ракитника', 'пальма', 'деревьях', 'дево́ры', 'растениях', 'кедровых', 'балками', 'ракитником', 'ле́са', 'служит', 'тополях', 'зацветёт', 'яблоня', 'ореховый', 'пальму', 'разбудила', 'приношения', 'вырастет', 'ситти́м', 'сикоморов', 'можжевёловые', 'инжиру', 'маслин', 'шелковице', 'сикомор', 'ветви']"
tree,srp,"['drvo', 'drveta', 'drveće', 'drveća', 'stabla', 'drvetom', 'smokvu', 'smokva', 'masline', 'smokve', 'drvetu', 'maslina', 'palmi', 'smokvi', 'drvećem', 'stablo', 'stablima', 'drva', 'smokvom', 'tamariska', 'drveću', 'divljih', 'stabala', 'smreka', 'smrekovim', 'njegove', 'zeleni', 'smreke', 'smolu', 'maslinu', 'palmom', 'gredama', 'stablom', 'žutilovke', 'trnovitim', 'zaklanjaju', 'zamahuju', 'palma', 'topolama', 'voćke', 'badem', 'orasi', 'palmu', 'procvetao', 'jabukom', 'akaciju', 'granu', 'divlju', 'vrbu', 'edenskim', 'divize', 'sitim', 'mirte', 'mirtama', 'dudu', 'palmine']"
