concept,language,translations
neck,zho,['脖子']
neck,fra,['cou']
neck,nld,['hals']
neck,pol,['szyja']
neck,rus,['шея']
neck,fin,['niska']
neck,est,['kael']
neck,ita,['collo']
neck,cym,['gwddf']
breast,spa,"['seno', 'pecho']"
breast,eng,"['breast', 'bosom']"
breast,deu,['busen']
breast,zho,['乳房']
breast,fra,['sein']
breast,ita,['seno']
breast,rus,['грудь']
sun,eng,['sun']
sun,spa,['sol']
sun,deu,['sonne']
sun,zho,"['太阳', '日', '阳光']"
sun,fra,['soleil']
sun,nld,['zon']
sun,pol,['słońce']
sun,tur,['güneş']
sun,afr,['son']
sun,cat,['sol']
sun,dan,['sol']
sun,fin,['aurinko']
sun,ell,['ήλιος']
sun,hun,['nap']
sun,isl,['sól']
sun,gle,['grian']
sun,xho,['ilanga']
sun,ita,['sole']
sun,lit,['saulė']
sun,mlt,['xemx']
sun,rus,['солнце']
sun,srp,['sunce']
sun,slk,['slnko']
sun,swe,['sol']
sun,ces,['slunce']
sun,gla,['grian']
sun,msa,['matahari']
sun,fas,['خورشید']
sun,hye,['արեւ']
sun,est,['päike']
sun,cym,['haul']
moon,eng,['moon']
moon,spa,['luna']
moon,deu,['mond']
moon,zho,['月']
moon,fra,['lune']
moon,nld,['maan']
moon,pol,['księżyc']
moon,tur,['ay']
moon,afr,['maan']
moon,cat,['lluna']
moon,dan,['måne']
moon,fin,['kuu']
moon,ell,['φεγγάρι']
moon,hun,['hold']
moon,isl,['tungl']
moon,gle,['gealach']
moon,xho,['inyanga']
moon,ita,['luna']
moon,lit,['mėnulis']
moon,mlt,['qamar']
moon,rus,['луна']
moon,srp,['mesec']
moon,slk,['mesiac']
moon,swe,['måne']
moon,ces,['měsíc']
moon,gla,['gealach']
moon,msa,['bulan']
moon,fas,['ماه']
moon,hye,['լուսին']
moon,cym,['lleuad']
moon,est,['kuu']
star,eng,['star']
star,spa,['estrella']
star,deu,['stern']
star,zho,"['星星', '恒星']"
star,fra,['étoile']
star,nld,['ster']
star,pol,['gwiazda']
star,tur,"['yildiz', 'yıldız']"
star,afr,['ster']
star,cat,['estrella']
star,dan,['stjerne']
star,fin,['tähti']
star,ell,['αστέρι']
star,hun,['csillag']
star,isl,['stjarna']
star,gle,['réalta']
star,xho,['inkwekhwezi']
star,ita,['stella']
star,lit,['žvaigždė']
star,mlt,['stilla']
star,rus,['звезда']
star,srp,['zvezda']
star,slk,['hviezda']
star,swe,['stjärna']
star,ces,['hvězda']
star,gla,['rionnag']
star,msa,['bintang']
star,fas,['ستاره']
star,hye,['աստղ']
star,est,['täht']
star,cym,['seren']
water,spa,['agua']
water,eng,['water']
water,deu,['wasser']
water,zho,['水']
water,nld,['water']
water,pol,['woda']
water,fra,['eau']
water,tur,['su']
water,rus,['вода']
water,fin,['vesi']
water,est,['vesi']
water,ita,['acqua']
water,cym,['dŵr']
rain,eng,['rain']
rain,spa,"['llover', 'lluvia']"
rain,nld,['regen']
rain,afr,['reën']
rain,cat,['ploure']
rain,dan,['regner']
rain,fin,"['sataa', 'sade']"
rain,deu,"['regnen', 'regen']"
rain,ell,['βρέχει']
rain,hun,['esik']
rain,isl,['rigna']
rain,gle,['ag cur báistí ']
rain,xho,['iyanetha']
rain,ita,"['piovere', 'pioggia']"
rain,lit,['lyti']
rain,mlt,['tagħmel ix-xita']
rain,pol,"['padać', 'deszcz']"
rain,rus,['дождь']
rain,srp,['pada kiša']
rain,slk,['pršať']
rain,swe,['regna']
rain,tur,['yağmur']
rain,ces,['pršet']
rain,msa,['hujan']
rain,fas,['باریدن']
rain,hye,['անձրեւել ']
rain,zho,['雨']
rain,fra,['pluie']
rain,cym,['glaw']
rain,est,['vihm']
stone,eng,"['rock', 'stone']"
stone,spa,['piedra']
stone,deu,['stein']
stone,zho,['石']
stone,fra,['pierre']
stone,nld,['steen']
stone,pol,['kamień']
stone,rus,['камень']
stone,fin,['kivi']
stone,est,['kivi']
stone,ita,"['pietra', 'roccia']"
stone,cym,['carreg']
cloud,spa,['nube']
cloud,eng,['cloud']
cloud,deu,['wolke']
cloud,zho,['云']
cloud,fra,['nuage']
cloud,nld,['wolk']
cloud,pol,['chmura']
cloud,tur,['bulut']
cloud,afr,['wolk']
cloud,cat,['núvol']
cloud,dan,['sky']
cloud,fin,['pilvi']
cloud,ell,['σύννεφο']
cloud,hun,['felhő']
cloud,isl,['ský']
cloud,gle,['scamall']
cloud,xho,['ilifu']
cloud,ita,"['nuvola', 'nuvole']"
cloud,lit,['debesis']
cloud,mlt,['sħaba']
cloud,rus,['облако']
cloud,srp,['oblak']
cloud,slk,['oblak']
cloud,swe,['moln']
cloud,ces,['mrak']
cloud,gla,['sgòth']
cloud,msa,['awan']
cloud,fas,['ابر']
cloud,hye,['ամպ']
cloud,est,['pilv']
cloud,cym,['cwmwl (cymyl)']
smoke,eng,"['smoke', 'smoking']"
smoke,zho,['烟']
smoke,deu,['rauch']
smoke,spa,"['humo', 'fumar']"
smoke,nld,"['rook', 'roken']"
smoke,fra,"['fumée', 'fumer']"
smoke,pol,"['dym', 'palić']"
smoke,rus,"['дым', 'курить']"
smoke,ell,['καπνίζει']
smoke,fin,['tupakoida']
smoke,tur,['sigara içmek']
smoke,ita,"['fumo', 'fumare']"
smoke,afr,['rook']
smoke,cat,['fumar']
smoke,dan,['ryger']
smoke,hun,['dohányzik']
smoke,isl,['reykja']
smoke,gle,['(ag) caitheamh tabac']
smoke,xho,['tshaya']
smoke,lit,['rūkyti']
smoke,mlt,['tpejjep']
smoke,srp,['pušiti']
smoke,slk,['fajčiť']
smoke,swe,['röka']
path,eng,['path']
path,spa,['camino']
path,deu,['pfad']
path,zho,['路径']
path,fra,['chemin']
path,pol,['ścieżka']
path,cym,['llwybr']
path,est,['rada']
path,fin,['polku']
path,rus,['дорожка']
mountain,eng,['mountain']
mountain,spa,"['montaña', 'cerro']"
mountain,deu,['berg']
mountain,zho,['山']
mountain,fra,['montagne']
mountain,nld,['berg']
mountain,pol,['góra']
mountain,rus,['гора']
mountain,fin,['vuori']
mountain,est,['mägi']
mountain,ita,['montagna']
mountain,cym,['mynydd']
white,eng,['white']
white,spa,['blanco']
white,deu,['weiß']
white,zho,['白']
white,fra,['blanc']
white,nld,['wit']
white,pol,['biały']
white,tur,['beyaz']
white,rus,['белый']
white,fin,['valkoinen']
white,est,['valge']
white,ita,['bianco']
white,cym,['gwyn']
night,eng,['night']
night,spa,['noche']
night,deu,['nacht']
night,zho,['晚上']
night,nld,['nacht']
night,pol,['noc']
night,fra,['nuit']
night,rus,['ночь']
night,fin,['yö']
night,est,['öö']
night,ita,['notte']
night,cym,['nos']
